Title,Features.Handheld?,Features.Max Players,Features.Multiplatform?,Features.Online?,Metadata.Genres,Metadata.Licensed?,Metadata.Publishers,Metadata.Sequel?,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Console,Release.Rating,Release.Re-release?,Release.Year,Length.All PlayStyles.Average,Length.All PlayStyles.Leisure,Length.All PlayStyles.Median,Length.All PlayStyles.Polled,Length.All PlayStyles.Rushed,Length.Completionists.Average,Length.Completionists.Leisure,Length.Completionists.Median,Length.Completionists.Polled,Length.Completionists.Rushed,Length.Main + Extras.Average,Length.Main + Extras.Leisure,Length.Main + Extras.Median,Length.Main + Extras.Polled,Length.Main + Extras.Rushed,Length.Main Story.Average,Length.Main Story.Leisure,Length.Main Story.Median,Length.Main Story.Polled,Length.Main Story.Rushed
Battlefield: Bad Company,True,1,True,True,Action,True,EA,True,83,0.83,16.95,X360,E,True,2008,8.266666666666667,35.18333333333333,7.0,344,5.083333333333333,17.766666666666666,31.03333333333333,14.0,17,10.433333333333334,11.066666666666666,36.38333333333333,9.0,72,7.466666666666667,6.85,12.383333333333333,6.733333333333333,255,4.65
Mortal Kombat: Armageddon,True,4,True,True,"Action,Racing / Driving",True,Midway,True,71,0.16,24.95,Nintendo Wii,E,True,2007,13.133333333333333,22.866666666666667,8.333333333333334,17,8.366666666666667,27.5,31.25,27.5,2,23.75,16.45,24.683333333333334,12.316666666666666,5,10.183333333333334,8.6,11.15,8.0,10,7.15
MediEvil Resurrection,True,1,True,True,Action,True,Sony,True,66,0.19,17.95,Sony PSP,T,True,2005,9.6,10.816666666666666,9.716666666666669,6,7.733333333333333,9.25,10.666666666666666,10.433333333333334,3,7.816666666666666,0.0,0.0,0.0,0,0.0,9.966666666666669,10.733333333333333,9.0,3,9.2
MLB 07: The Show,True,1,True,True,Sports,True,Sony,True,82,0.28,9.95,Sony PSP,E,True,2007,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
SimCity Creator,True,1,True,True,Simulation,True,EA,True,69,0.3,17.95,Nintendo DS,M,True,2008,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Disgaea: Afternoon of Darkness,True,1,True,True,"Role-Playing (RPG),Strategy",True,,True,87,0.15,17.95,Sony PSP,M,True,2007,87.5,453.76666666666665,59.6,44,37.73333333333333,315.1,533.45,150.71666666666667,4,178.95,97.51666666666668,123.15,99.53333333333332,15,78.4,45.083333333333336,75.51666666666667,40.8,25,22.433333333333334
Escape from Bug Island,True,1,True,True,Action,True,Eidos,True,37,0.04,14.95,Nintendo Wii,T,True,2007,7.583333333333333,9.55,6.616666666666667,6,5.916666666666667,0.0,0.0,0.0,0,0.0,11.366666666666667,11.683333333333334,11.366666666666667,2,11.05,5.683333333333334,6.383333333333334,5.383333333333334,4,5.133333333333334
Guilty Gear: Dust Strikers,True,1,True,True,Action,True,,True,60,0.05,14.95,Nintendo DS,E,True,2006,0.3166666666666666,0.3166666666666666,0.3166666666666666,2,0.3166666666666666,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.3166666666666666,0.3166666666666666,0.3166666666666666,2,0.3166666666666666
Super Paper Mario,True,1,True,True,"Action,Role-Playing (RPG)",True,Nintendo,True,85,1.5,29.95,Nintendo Wii,E,True,2007,22.8,50.63333333333333,19.766666666666666,112,16.883333333333333,48.88333333333333,64.31666666666666,48.43333333333333,11,36.81666666666667,24.08333333333333,31.566666666666663,22.216666666666665,33,19.08333333333333,17.966666666666665,20.366666666666667,18.0,68,15.233333333333333
Luminous Arc,True,1,True,True,"Role-Playing (RPG),Strategy",True,,True,70,0.17,24.95,Nintendo DS,T,True,2007,28.133333333333333,44.6,24.316666666666663,28,21.916666666666668,49.71666666666667,57.85,55.73333333333333,5,43.85,24.416666666666668,27.23333333333333,24.53333333333333,8,21.75,22.916666666666668,27.48333333333333,21.75,15,19.98333333333333
Ridge Racer DS,True,1,True,True,Racing / Driving,True,Namco,True,63,0.15,9.95,Nintendo DS,E,True,2004,2.2333333333333334,2.2333333333333334,2.2333333333333334,1,2.2333333333333334,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2.2333333333333334,2.2333333333333334,2.2333333333333334,1,2.2333333333333334
Turok,True,1,True,True,Action,True,,True,69,0.47,14.95,X360,E,True,2008,9.716666666666669,24.366666666666667,7.75,32,6.566666666666666,12.2,25.55,10.0,11,8.55,8.366666666666667,10.85,7.033333333333333,8,6.55,8.45,16.35,7.0,13,6.05
Bust-a-Move Deluxe,True,2,True,True,Strategy,True,,True,73,0.14,14.95,Sony PSP,M,True,2006,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Rondo of Swords,True,1,True,True,"Role-Playing (RPG),Strategy",True,,True,69,0.15,19.95,Nintendo DS,E,True,2007,23.23333333333333,31.73333333333333,17.7,7,18.23333333333333,36.5,39.75,36.5,2,33.25,17.0,17.0,17.0,1,17.0,18.166666666666668,19.866666666666667,17.35,4,16.866666666666667
NCAA Football 07,True,1,True,True,Sports,True,EA,True,75,0.36,9.95,Sony PSP,T,True,2006,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
